file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V300_Case8_CutFre20.xls,test,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case8_CutFre20.xls,test,random,0.8,0,acceleration,m/s^2,2784,0.018670504047700126,0.02712403697801576,2237,51.978683268797155,2.048226055445589
V300_Case8_CutFre20.xls,test,random,0.8,0,uplift,m,2784,2.5039128370257152e-06,3.7302997812026455e-06,2237,0.006970893338279591,3.8739739898071163e-08
V300_Case8_CutFre20.xls,test,random,0.6,0,acceleration,m/s^2,5568,0.03310437779579902,0.05586382987456146,3379,184.32517556700896,17.37643337459797
V300_Case8_CutFre20.xls,test,random,0.6,0,uplift,m,5568,4.322116540884867e-06,6.981843644433691e-06,3379,0.02406554489964694,2.714185112801769e-07
V300_Case8_CutFre20.xls,test,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case8_CutFre20.xls,test,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case8_CutFre20.xls,test,bursty,0.8,0,acceleration,m/s^2,2784,0.17881422626059046,0.2311861619278574,348,497.81880590948384,148.7965634439429
V300_Case8_CutFre20.xls,test,bursty,0.8,0,uplift,m,2784,2.287213682674384e-05,2.9346571671693026e-05,348,0.06367602892565485,2.3976400125669746e-06
V300_Case8_CutFre20.xls,test,bursty,0.6,0,acceleration,m/s^2,5568,0.1801931000049514,0.2306761821239637,696,1003.3151808275693,296.28163756403603
V300_Case8_CutFre20.xls,test,bursty,0.6,0,uplift,m,5568,2.2974359033026078e-05,2.9037323087737235e-05,696,0.1279212310958892,4.69474902354192e-06
V350_Case1_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case1_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case1_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2387,0.02135304030969571,0.031013441659445494,1907,50.96970721924366,2.2958967162268604
V350_Case1_CutFre20.xls,train,random,0.8,0,uplift,m,2387,2.6244371995811673e-06,3.694238709884901e-06,1907,0.006264531595400247,3.2576342954075985e-08
V350_Case1_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,4773,0.03787728831315116,0.062355060457275145,2825,180.78829711867047,18.558156963981084
V350_Case1_CutFre20.xls,train,random,0.6,0,uplift,m,4773,4.5468237493202326e-06,7.069824937311313e-06,2825,0.02170198975550547,2.385661128269046e-07
V350_Case1_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
