file,split,speed_kmh,case,cutoff,rows,distance_first_m,distance_last_m,raw_columns_exact,strictly_increasing,intervals,mean_m,std_m,min_m,max_m,median_m
V350_Case3_CutFre20.xls,train,350,3,20,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case3_CutFre200.xls,train,350,3,200,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case3_CutFre50.xls,train,350,3,50,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre100.xls,train,350,4,100,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre150.xls,train,350,4,150,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,4,20,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre200.xls,train,350,4,200,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre50.xls,train,350,4,50,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre100.xls,validation,350,5,100,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre150.xls,validation,350,5,150,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre20.xls,validation,350,5,20,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre200.xls,validation,350,5,200,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre50.xls,validation,350,5,50,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case6_CutFre100.xls,validation,350,6,100,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre150.xls,validation,350,6,150,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,6,20,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre200.xls,validation,350,6,200,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre50.xls,validation,350,6,50,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre100.xls,test,350,7,100,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre150.xls,test,350,7,150,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,7,20,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre200.xls,test,350,7,200,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre50.xls,test,350,7,50,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre100.xls,test,350,8,100,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre150.xls,test,350,8,150,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
