file,split,speed_kmh,pattern,retention,seed,source_row_first,source_row_last,retained_rows,longest_missing_run_samples,intervals,mean_m,std_m,min_m,max_m,median_m
V350_Case5_CutFre20.xls,validation,350,random,0.6,0,1640,14765,7876,9,7875,0.1620370370369749,0.1037384201149588,0.0972222222221717,0.9722222222222854,0.09722222222222854
V350_Case5_CutFre20.xls,validation,350,bursty,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre20.xls,validation,350,bursty,0.8,0,1640,14765,10501,8,10500,0.12152777777773116,0.13530432186906338,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case5_CutFre20.xls,validation,350,bursty,0.6,0,1640,14765,7876,8,7875,0.1620370370369749,0.21493291772562373,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,random,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,random,0.8,0,1491,13423,9546,6,9545,0.12153541703039687,0.05474147809976423,0.0972222222221717,0.6805555555552019,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,random,0.6,0,1491,13423,7160,10,7159,0.16204156384343318,0.1034578612472756,0.0972222222221717,1.0694444444438886,0.09722222222222854
V350_Case6_CutFre20.xls,validation,350,bursty,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,bursty,0.8,0,1491,13423,9546,8,9545,0.12153541703039687,0.13529330021999678,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case6_CutFre20.xls,validation,350,bursty,0.6,0,1491,13423,7160,8,7159,0.16204156384343318,0.21492717756655147,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,random,1.0,0,1342,12080,10739,0,10738,0.09722222222219003,2.657738166071339e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,random,0.8,0,1342,12080,8591,5,8590,0.12153343681279122,0.05359965559266477,0.0972222222221717,0.5833333333330302,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,random,0.6,0,1342,12080,6443,9,6442,0.16205715961221306,0.10240483021775156,0.0972222222221717,0.972222222221717,0.09722222222222854
V350_Case7_CutFre20.xls,test,350,bursty,1.0,0,1342,12080,10739,0,10738,0.09722222222219003,2.657738166071339e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,bursty,0.8,0,1342,12080,8591,8,8590,0.12153343681279122,0.13527779351263267,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case7_CutFre20.xls,test,350,bursty,0.6,0,1342,12080,6443,8,6442,0.16205715961221306,0.21499675443873142,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case8_CutFre20.xls,test,350,random,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre20.xls,test,350,random,0.8,0,1491,13423,9546,5,9545,0.12153541703039687,0.05401303125247438,0.0972222222221717,0.5833333333330302,0.0972222222221717
V350_Case8_CutFre20.xls,test,350,random,0.6,0,1491,13423,7160,9,7159,0.16204156384343318,0.10239314515479697,0.0972222222221717,0.972222222221717,0.09722222222222854
V350_Case8_CutFre20.xls,test,350,bursty,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre20.xls,test,350,bursty,0.8,0,1491,13423,9546,8,9545,0.12153541703039687,0.13529330021999647,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case8_CutFre20.xls,test,350,bursty,0.6,0,1491,13423,7160,8,7159,0.16204156384343318,0.21492717756654842,0.0972222222221717,0.8750000000000568,0.0972222222221717
V380_Case1_CutFre20.xls,train,380,random,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case1_CutFre20.xls,train,380,random,0.8,0,1373,12363,8793,6,8792,0.13194444444449452,0.058673515569190794,0.10555555555555429,0.73888888888888,0.10555555555561114
V380_Case1_CutFre20.xls,train,380,random,0.6,0,1373,12363,6595,10,6594,0.1759259259259927,0.1114827835961758,0.10555555555555429,1.1611111111117225,0.10555555555561114
V380_Case1_CutFre20.xls,train,380,bursty,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
